rank,sector_code,sector_name,cross_crisis_count,avg_resistance_ratio_pct,avg_recovery_years,avg_revenue_growth_pct,avg_roe_change_pp,total_score
1,Q,卫生,4,91.67,1.0,46.38,5.38,100.0
2,M,科研技术,4,78.47,1.0,31.56,-0.31,90.3
3,I,信息软件,4,68.72,1.0,16.93,0.76,81.8
4,E,建筑业,4,64.91,1.0,14.85,-1.88,79.8
5,L,租赁商务,4,57.51,1.0,16.1,-1.78,78.1
6,D,电力热力燃气水,4,63.73,1.0,10.0,-2.48,77.6
7,F,批发零售,4,59.76,1.0,12.17,-2.47,77.3
8,J,金融业,4,7.09,1.0,46.2,-0.78,74.9
9,K,房地产业,4,54.74,1.5,24.08,-1.26,72.7
10,R,文体娱乐,3,60.51,1.0,17.16,-4.14,67.8
11,C,制造业,3,65.76,1.0,11.22,-1.76,67.0
12,H,住宿餐饮,3,47.56,1.5,13.84,-0.6,54.9
13,A,农林牧渔,2,57.89,1.5,24.02,0.04,50.3
14,G,交运仓储,2,61.45,1.2,4.8,-6.34,48.5
15,N,水利环境,2,59.22,1.5,6.74,-2.34,44.0
16,S,综合,3,43.8,1.8,-5.04,-4.28,41.9
17,B,采矿业,2,58.97,1.5,0.72,-2.49,41.5
18,O,居民服务,2,47.62,2.3,18.71,-9.59,32.9
19,P,教育,1,30.56,1.7,1.7,-6.84,18.8
