crisis,sector_code,sector_name,pre_year,trough_year,revenue_pre,revenue_trough,revenue_growth_pct,net_profit_pre,net_profit_trough,np_growth_pct,roe_pre,roe_trough,roe_change_pp,cashflow_pre,cashflow_trough,cashflow_change,resistance_ratio_pct,recovery_years
2008金融危机,A,农林牧渔,2007,2008,56042331513.340004,47413932766.78,-15.4,2199656672.05,1039535390.69,-52.74,6.86,3.05,-3.81,1829467159.8200002,3084807324.55,1255340164.73,57.14,3.0
2008金融危机,B,采矿业,2007,2008,2313374522559.8604,2933354410067.44,26.8,250595346312.53003,232358422310.54,-7.28,18.7,14.24,-4.47,402224651161.64,358641585408.74,-43583065752.900024,93.94,1.0
2008金融危机,C,制造业,2007,2008,3712925861353.75,4337016208682.03,16.81,224132613986.26,134760716408.92,-39.87,12.49,6.75,-5.74,219110180509.26,295249065813.99,76138885304.72998,67.63,1.0
2008金融危机,D,电力热力燃气水,2007,2008,283650428338.6,339580055327.28,19.72,37248510888.649994,-1571330692.4100008,-104.22,10.55,-0.49,-11.04,69427966158.88,50249681421.03,-19178284737.850006,67.19,1.0
2008金融危机,E,建筑业,2007,2008,492958095155.82996,626799497714.99,27.15,11348723965.0,9194222553.25,-18.98,10.12,5.7,-4.42,16342021616.56,18468869020.649998,2126847404.0899982,70.27,1.0
2008金融危机,F,批发零售,2007,2008,529076857484.1,634948951115.25,20.01,15929161913.719997,14841235607.14,-6.83,13.72,10.63,-3.09,21087081005.559998,25235448898.28,4148367892.720001,73.68,1.0
2008金融危机,G,交运仓储,2007,2008,482083526387.23,527654384851.83,9.45,71855620721.8,22061983957.36,-69.3,16.2,5.03,-11.18,109542966059.21,98451644091.83,-11091321967.380005,65.33,2.0
2008金融危机,H,住宿餐饮,2007,2008,6369776050.33,6764984551.459999,6.2,1343935135.8400002,1103685366.5900002,-17.88,8.81,9.51,0.7,1400171757.81,1115360887.1399999,-284810870.6700001,54.55,1.0
2008金融危机,I,信息软件,2007,2008,164674849957.52002,222544946705.86996,35.14,15361331430.300003,40596147325.61,164.27,10.95,15.17,4.23,38105910759.240005,66870324152.52,28764413393.27999,63.79,1.0
2008金融危机,J,金融业,2007,2008,162809506.77,197060942.26999998,21.04,366988659691.73,401648668001.91,9.44,15.62,15.96,0.35,1179455697489.1099,1758063168142.12,578607470653.0103,3.7,1.0
2008金融危机,K,房地产业,2007,2008,186698825208.0,230727404111.86,23.58,30147198383.07,32261351196.54,7.01,12.39,10.25,-2.14,-46348314596.19,-41196218958.72,5152095637.470001,46.34,1.0
2008金融危机,L,租赁商务,2007,2008,17236495235.32,17900418357.88,3.85,1774682500.63,2471486374.84,39.26,6.85,8.45,1.61,3245678704.94,2459424951.38,-786253753.56,55.0,1.0
2008金融危机,M,科研技术,2007,2008,2485389891.8,3407917782.9,37.12,147333969.42000002,169087797.60999998,14.76,11.52,11.99,0.47,440425627.4,84380413.57000001,-356045213.83,100.0,1.0
2008金融危机,N,水利环境,2007,2008,30241646600.18,29650955110.61,-1.95,4374216390.74,3645424797.39,-16.66,9.68,7.7,-1.98,5847162247.969999,6439458054.16,592295806.1900005,50.0,3.0
2008金融危机,O,居民服务,2007,2008,9628647258.279999,11976791770.51,24.39,898138692.41,839906593.52,-6.48,13.11,10.5,-2.6,1661985726.52,-57796833.69999993,-1719782560.2199998,42.86,1.0
2008金融危机,P,教育,2007,2008,,,,,,,,,,,,,,
2008金融危机,Q,卫生,2007,2008,91392829.29,139130768.94,52.23,10151466.17,14663725.45,44.45,5.84,7.65,1.82,91704329.93,12512948.35,-79191381.58000001,100.0,1.0
2008金融危机,R,文体娱乐,2007,2008,5332134854.200001,7262708511.54,36.21,399476038.21000004,257237728.29000002,-35.61,6.62,3.53,-3.09,1267917336.17,1362522089.4699998,94604753.29999971,80.0,1.0
2008金融危机,S,综合,2007,2008,93692795053.28,96347891191.31,2.83,7462462950.889999,2308865156.76,-69.06,8.9,2.65,-6.25,2701911215.71,2878456761.03,176545545.32000017,57.58,2.0
