Stkcd,ShortName,Indcd,Indnme,穿越次数,平均营收增长率_危机期,平均净利润增长率_危机期,最新ROE,最新资产负债率,最新经营现金流比,综合风险评分,风险等级
600519,贵州茅台,C15,酒、饮料和精制茶制造业,4.0,13.73%,19.77%,35.63%,19.04%,1.04,8.0,低风险
600406,国电南瑞,I65,软件和信息技术服务业,4.0,11.93%,5.39%,14.43%,43.11%,1.36,0.0,低风险
600276,恒瑞医药,C27,医药制造业,4.0,23.02%,21.81%,13.75%,8.07%,1.17,3.2064433084603827,低风险
601872,招商轮船,G55,水上运输业,4.0,68.18%,238.30%,12.50%,42.16%,1.63,0.0,低风险
600521,华海药业,C27,医药制造业,4.0,17.75%,17.28%,12.41%,55.48%,1.96,0.0,低风险
600529,山东药玻,C30,非金属矿物制品业,4.0,10.44%,25.94%,11.78%,21.03%,1.24,0.0,低风险
600763,通策医疗,Q83,卫生,4.0,31.06%,30.23%,11.50%,29.49%,1.33,0.0,低风险
600486,扬农化工,C26,化学原料及化学制品制造业,4.0,22.78%,39.72%,11.40%,40.32%,1.79,0.0,低风险
600461,洪城水业,D46,水的生产和供应业,4.0,15.50%,13.81%,11.27%,57.33%,1.48,0.0,低风险
600570,恒生电子,I65,软件和信息技术服务业,4.0,25.87%,20.23%,11.09%,36.13%,0.83,0.0,低风险
600809,山西汾酒,C15,酒、饮料和精制茶制造业,3.0,16.09%,33.56%,34.78%,34.19%,0.99,8.0,低风险
600211,西藏药业,C27,医药制造业,3.0,6.22%,119.78%,26.60%,16.75%,0.94,10.0,低风险
600285,羚锐制药,C27,医药制造业,3.0,16.25%,31.78%,23.46%,38.60%,1.21,0.0,低风险
603369,今世缘,C15,酒、饮料和精制茶制造业,3.0,10.91%,14.09%,22.08%,36.20%,0.84,8.0,低风险
200596,古井贡B,C15,酒、饮料和精制茶制造业,3.0,12.80%,13.58%,21.47%,36.59%,0.83,0.0,低风险
600660,福耀玻璃,C30,非金属矿物制品业,3.0,4.51%,-8.86%,21.01%,43.58%,1.14,0.0,低风险
603288,海天味业,C14,食品制造业,3.0,15.66%,21.13%,20.20%,23.14%,1.08,0.0,低风险
300415,伊之密,C35,专用设备制造业,3.0,10.03%,9.61%,20.16%,57.58%,0.57,0.0,低风险
600563,法拉电子,C39,计算机、通信和其他电子设备制造业,3.0,6.47%,2.38%,19.43%,31.59%,1.21,0.0,低风险
600873,梅花生物,C14,食品制造业,3.0,16.97%,-8.84%,18.80%,38.79%,1.69,0.0,低风险
600845,宝信软件,I65,软件和信息技术服务业,3.0,16.91%,34.49%,18.44%,43.22%,0.72,0.0,低风险
900926,宝信B,I65,软件和信息技术服务业,3.0,16.91%,34.49%,18.44%,43.22%,0.72,0.0,低风险
430418,苏轴股份,C34,通用设备制造业,3.0,7.17%,14.92%,18.43%,14.12%,1.01,0.0,低风险
601567,三星医疗,C40,仪器仪表制造业,3.0,19.76%,0.06%,18.41%,49.85%,0.81,0.0,低风险
601899,紫金矿业,B09,有色金属矿采选业,3.0,21.52%,20.75%,18.03%,55.19%,1.24,10.0,低风险
300015,爱尔眼科,Q83,卫生,3.0,28.45%,35.05%,16.30%,34.41%,1.31,5.547999854735981,低风险
600690,青岛海尔,C38,电气机械及器材制造业,3.0,6.46%,8.73%,15.83%,59.19%,1.36,0.0,低风险
601126,四方股份,C38,电气机械及器材制造业,3.0,5.70%,25.49%,15.63%,58.54%,1.75,0.0,低风险
600872,中炬高新,C14,食品制造业,3.0,9.82%,16.54%,15.48%,29.95%,1.13,26.66144549297238,关注
300124,汇川技术,C38,电气机械及器材制造业,3.0,34.09%,49.20%,15.07%,50.28%,1.66,0.0,低风险
603899,晨光文具,C24,文教、工美、体育和娱乐用品制造业,3.0,25.12%,22.49%,14.79%,43.11%,1.57,0.0,低风险
603998,方盛制药,C27,医药制造业,3.0,25.16%,1.48%,14.71%,46.89%,0.78,10.0,低风险
603606,东方电缆,C38,电气机械及器材制造业,3.0,32.63%,105.10%,14.69%,43.64%,1.10,0.0,低风险
600598,北大荒,A01,农业,3.0,-3.00%,6.14%,14.32%,15.39%,1.37,23.737488779858783,低风险
830779,武汉蓝电,C40,仪器仪表制造业,3.0,24.60%,20.05%,14.23%,10.78%,1.04,0.0,低风险
601799,星宇股份,C36,汽车制造业,3.0,20.61%,28.13%,13.84%,39.94%,0.65,0.0,低风险
603600,永艺股份,C21,家具制造业,3.0,29.81%,33.25%,13.16%,47.73%,1.16,2.080277886541663,低风险
600885,宏发股份,C38,电气机械及器材制造业,3.0,9.75%,9.66%,13.00%,39.30%,1.03,0.0,低风险
300406,九强生物,C27,医药制造业,3.0,7.92%,-12.30%,12.89%,25.87%,1.16,8.0,低风险
300012,华测检测,M74,专业技术服务业,3.0,25.90%,49.84%,12.86%,24.24%,1.14,0.0,低风险
300304,云意电气,C36,汽车制造业,3.0,6.81%,11.07%,12.72%,21.33%,0.87,0.0,低风险
600993,马应龙,F51,批发业,3.0,12.92%,-5.05%,12.57%,18.92%,0.91,0.0,低风险
600114,东睦股份,C33,金属制品业,3.0,17.01%,-18.22%,12.17%,56.78%,0.75,0.0,低风险
603519,立霸股份,C38,电气机械及器材制造业,3.0,4.24%,-0.76%,11.91%,16.74%,0.62,0.0,低风险
200429,粤高速B,G54,道路运输业,3.0,11.45%,18.58%,11.84%,41.20%,1.55,5.916737413699882,低风险
600866,星湖科技,C14,食品制造业,3.0,10.72%,57.35%,11.74%,44.80%,2.52,0.0,低风险
600298,安琪酵母,C14,食品制造业,3.0,15.93%,44.11%,11.68%,47.82%,1.22,0.0,低风险
