Indcd,Indnme,样本数,M_Score均值,M_Score中位数,M_Score标准差,综合评分均值,综合评分中位数,M_Score超阈值比,极高风险数,高风险数,中等风险数,关注数,重述率,平均营业收入_亿,平均总资产_亿,风险指数
C43,金属制品、机械和设备修理业,1,-0.5575035294556681,-0.5575035294556681,,28.820698011576404,28.820698011576404,100.0,0,0,0,1,0.0,17.8468668653,25.7411680815,30.07205174502894
J68,保险业,3,-3.4176416189737484,-3.272810455772716,1.8852760877262562,32.17394911461109,29.325031645689204,33.33333333333333,0,0,1,1,66.66666666666666,5.252660048833333,1455.1581713663998,20.080434872786526
O81,其他服务业,10,-1.48429354624264,-1.428786526972376,0.8069022787960859,25.79291243748304,28.209334991170657,60.0,0,0,0,6,10.0,28.23333826448,50.0843171211,19.564482281093706
L71,租赁业,37,-1.891893998489858,-2.184719771542512,1.5021282772317293,18.82542900591593,15.260746114167077,32.432432432432435,1,2,3,6,35.13513513513514,74.3752813955054,611.7805993966892,17.479496004947222
C42,废弃资源综合利用业,52,-1.548999220662378,-2.0072933939857065,2.571418687120531,19.80292818395626,13.96658235070067,38.46153846153847,1,3,2,13,15.384615384615385,41.249985669875,82.09588265319616,16.203353474306045
K70,房地产业,1717,-1.084465246201242,-1.9749420951336767,2.949361136453411,23.449059914296182,21.655992769338656,41.817122888759464,3,40,251,417,14.85148514851485,116.12429595920443,544.4395759399962,15.582792713850969
J67,资本市场服务,67,-1.27056908524984,-2.146391837132246,2.928071993573253,22.459909104731544,18.82328574788453,38.80597014925373,0,2,7,17,17.91044776119403,10.892284575370152,904.8148633329088,15.280030369776753
N77,生态保护和环境治理业,324,-1.9358202135785145,-2.1181161057952185,1.2978021503877184,14.978193034779766,14.203548110861618,32.098765432098766,0,2,13,58,27.160493827160494,28.73384930554229,99.59881974654968,13.92633437147584
J69,其他金融业,90,-1.4906749790982836,-2.442577125509934,3.070855208861907,19.260533148602686,15.419558272031567,31.11111111111111,0,0,11,18,26.666666666666668,31.021321413456665,560.1786344890933,13.38148466620484
A05,农、林、牧、渔服务业,17,-2.0198013909481993,-2.2321385523263704,0.8261139793591925,16.15071018729033,12.955100125095504,29.411764705882355,0,0,1,4,29.411764705882355,15.40647913585294,24.38008171787059,13.275670893115285
I64,互联网和相关服务,489,-2.141605353595638,-2.342825845659452,1.9197284422166956,18.266714207976747,16.0,30.67484662576687,1,4,40,100,24.74437627811861,38.72720330923456,52.43031720649694,13.266525681225463
B08,黑色金属矿采选业,66,-1.5730529106240103,-2.284328237775268,2.929332725866768,18.201673247668317,14.170427846747158,33.33333333333333,0,0,4,14,21.21212121212121,27.858613863274247,70.54521321221969,13.22732236493735
P82,教育,52,-1.4847669157301218,-2.4584383215489902,3.182793924177147,20.010389038388965,16.736084593446527,25.0,0,1,5,9,32.69230769230769,15.965322449251921,32.89310943518463,13.030795203365201
R86,广播、电视、电影和影视录音制作业,210,-2.1441012760220044,-2.4239892623112786,2.4053208805056223,20.27037375104537,16.773004839762642,29.04761904761905,0,5,20,46,21.904761904761905,20.509838171943812,66.66377597426953,12.764961648663327
E49,建筑安装业,13,-1.2092823084309676,-2.051659418688513,2.9870688517832242,17.949168942929955,16.695624125598258,38.46153846153847,0,0,1,4,7.6923076923076925,95.03500368683076,97.24844249813846,12.737180614665018
B09,有色金属矿采选业,250,-1.6154055756500114,-2.3660308602150026,2.654062142611315,15.759258296465488,11.158327378172018,30.8,0,2,13,45,21.2,182.8346999701548,214.89470631648678,12.699398145741164
A02,林业,55,-1.4126342103226472,-2.14642187793464,3.035311741111235,22.089955810361698,20.12125771266349,34.54545454545455,0,0,3,20,14.545454545454545,5.1520571042327274,20.454246746247275,12.60067943498045
