门类代码,门类名称,样本数,M_Score均值,综合评分均值,高风险比例,重述率
K,房地产业,1717,-1.084465246201242,23.449059914296182,2.5043680838672104,14.85148514851485
P,教育,52,-1.4847669157301218,20.010389038388965,1.9230769230769231,32.69230769230769
R,文化、体育和娱乐业,507,-2.26960440720538,13.8924128504965,1.3806706114398422,18.73767258382643
J,金融业,162,-1.4686717310061532,20.81659413263046,1.2345679012345678,24.074074074074073
L,租赁和商务服务业,535,-1.8144689246016945,16.367708160709757,1.1214953271028036,18.69158878504673
S,综合,320,-1.6158963270502338,19.23166822291217,0.9375,20.9375
E,建筑业,996,-1.9624493579227165,14.693269783619659,0.7028112449799196,23.59437751004016
H,住宿和餐饮业,158,-2.089055304573657,11.453656176608105,0.6329113924050633,13.291139240506327
F,批发和零售业,2068,-1.8396619650050419,13.978833251238695,0.5802707930367506,16.731141199226304
B,采矿业,880,-2.045867435252127,12.515004004115827,0.45454545454545453,20.681818181818183
G,交通运输、仓储和邮政业,1254,-2.1851170890848657,9.834967200311365,0.3987240829346092,19.696969696969695
A,农、林、牧、渔业,543,-2.050718205970906,14.816024825733576,0.3683241252302026,18.96869244935543
I,信息传输、软件和信息技术服务业,2801,-2.0042205939131956,14.780090630546677,0.3570153516601214,22.3491610139236
C,制造业,26747,-2.095226870323642,11.204312641667391,0.3028377014244588,17.695442479530417
D,电力、热力、燃气及水生产和供应业,1299,-2.247347687565989,8.919006284313209,0.15396458814472672,17.782909930715935
N,水利、环境和公共设施管理业,10920,-2.314504294065526,8.328989714289376,0.13736263736263737,7.884615384615384
M,科学研究和技术服务业,463,-2.083332178136606,12.325302527474715,0.0,22.03023758099352
O,居民服务、修理和其他服务业,21,-2.2741159882940725,16.63244769704143,0.0,9.523809523809524
Q,卫生和社会工作,92,-2.215133192977746,12.628590338181983,0.0,21.73913043478261
